10000	449219	2678	69159	131039	1985	1575	1642
20000	1.42608e+006	6066	282810	528107	4675	3347	3464
30000	3.608e+006	9399	715448	1.34225e+006	6919	5310	5676
40000	6.22978e+006	12517	1.48333e+006	2.38018e+006	9982	7035	9750
50000	9.87618e+006	16485	1.87476e+006	3.76068e+006	13050	9403	14325
60000	2.15125e+007	30038	3.07585e+006	5.70984e+006	19285	14916	15584
70000	1.96276e+007	30806	3.79252e+006	7.31569e+006	19003	13480	14860
80000	2.69158e+007	34030	5.02212e+006	9.15895e+006	22608	17551	17898
90000	3.34025e+007	32043	6.88901e+006	1.10301e+007	26914	17473	19086
100000	4.26349e+007	36323	8.11721e+006	1.40448e+007	29327	19406	21212
